vrt_path,name,priority,leaf
ai_application_security,AI Application Security,,false
ai_application_security.adversarial_example_injection,Adversarial Example Injection,,false
ai_application_security.adversarial_example_injection.ai_misclassification_attacks,AI Misclassification Attacks,4,true
ai_application_security.ai_safety,AI Safety,,false
ai_application_security.ai_safety.misinformation_wrong_factual_data,Misinformation / Wrong Factual Data,4,true
ai_application_security.denial_of_service_dos,Denial-of-Service (DoS),,false
ai_application_security.denial_of_service_dos.application_wide,Application-Wide,2,true
ai_application_security.denial_of_service_dos.tenant_scoped,Tenant-Scoped,4,true
ai_application_security.improper_input_handling,Improper Input Handling,,false
ai_application_security.improper_input_handling.ansi_escape_codes,ANSI Escape Codes,5,true
ai_application_security.improper_input_handling.rtl_overrides,RTL Overrides,5,true
ai_application_security.improper_input_handling.unicode_confusables,Unicode Confusables,5,true
ai_application_security.improper_output_handling,Improper Output Handling,,false
ai_application_security.improper_output_handling.cross_site_scripting_xss,Cross-Site Scripting (XSS),3,true
ai_application_security.improper_output_handling.markdown_html_injection,Markdown/HTML Injection,4,true
ai_application_security.insufficient_rate_limiting,Insufficient Rate Limiting,,false
ai_application_security.insufficient_rate_limiting.query_flooding_api_token_abuse,Query Flooding / API Token Abuse,4,true
ai_application_security.model_extraction,Model Extraction,,false
ai_application_security.model_extraction.api_query_based_model_reconstruction,API Query-Based Model Reconstruction,1,true
ai_application_security.prompt_injection,Prompt Injection,,false
ai_application_security.prompt_injection.system_prompt_leakage,System Prompt Leakage,2,true
ai_application_security.remote_code_execution,Remote Code Execution,,false
ai_application_security.remote_code_execution.full_system_compromise,Full System Compromise,1,true
ai_application_security.remote_code_execution.sandboxed_container_code_execution,Sandboxed Container Code Execution,2,true
ai_application_security.sensitive_information_disclosure,Sensitive Information Disclosure,,false
ai_application_security.sensitive_information_disclosure.cross_tenant_pii_leakage_exposure,Cross-Tenant PII Leakage/Exposure,1,true
ai_application_security.sensitive_information_disclosure.key_leak,Key Leak,1,true
ai_application_security.training_data_poisoning,Training Data Poisoning,,false
ai_application_security.training_data_poisoning.backdoor_injection_bias_manipulation,Backdoor Injection / Bias Manipulation,1,true
ai_application_security.vector_and_embedding_weaknesses,Vector and Embedding Weaknesses,,false
ai_application_security.vector_and_embedding_weaknesses.embedding_exfiltration_model_extraction,Embedding Exfiltration / Model Extraction,2,true
ai_application_security.vector_and_embedding_weaknesses.semantic_indexing,Semantic Indexing,3,true
algorithmic_biases,Algorithmic Biases,,false
algorithmic_biases.aggregation_bias,Aggregation Bias,,true
algorithmic_biases.processing_bias,Processing Bias,,true
application_level_denial_of_service_dos,Application-Level Denial-of-Service (DoS),,false
application_level_denial_of_service_dos.app_crash,App Crash,,false
application_level_denial_of_service_dos.app_crash.malformed_android_intents,Malformed Android Intents,5,true
application_level_denial_of_service_dos.app_crash.malformed_ios_url_schemes,Malformed iOS URL Schemes,5,true
application_level_denial_of_service_dos.critical_impact_and_or_easy_difficulty,Critical Impact and/or Easy Difficulty,2,true
application_level_denial_of_service_dos.excessive_resource_consumption,Excessive Resource Consumption,,false
application_level_denial_of_service_dos.excessive_resource_consumption.injection_prompt,Injection (Prompt),,true
application_level_denial_of_service_dos.high_impact_and_or_medium_difficulty,High Impact and/or Medium Difficulty,3,true
automotive_security_misconfiguration,Automotive Security Misconfiguration,,false
automotive_security_misconfiguration.abs,Automatic Braking System (ABS),,false
automotive_security_misconfiguration.abs.unintended_acceleration_brake,Unintended Acceleration / Brake,3,true
automotive_security_misconfiguration.battery_management_system,Battery Management System,,false
automotive_security_misconfiguration.battery_management_system.firmware_dump,Firmware Dump,3,true
automotive_security_misconfiguration.battery_management_system.fraudulent_interface,Fraudulent Interface,4,true
automotive_security_misconfiguration.can,CAN,,false
automotive_security_misconfiguration.can.injection_basic_safety_message,Injection (Basic Safety Message),3,true
automotive_security_misconfiguration.can.injection_battery_management_system,Injection (Battery Management System),3,true
automotive_security_misconfiguration.can.injection_disallowed_messages,Injection (Disallowed Messages),4,true
automotive_security_misconfiguration.can.injection_dos,Injection (DoS),4,true
automotive_security_misconfiguration.can.injection_headlights,Injection (Headlights),3,true
automotive_security_misconfiguration.can.injection_powertrain,Injection (Powertrain),3,true
automotive_security_misconfiguration.can.injection_pyrotechnical_device_deployment_tool,Injection (Pyrotechnical Device Deployment Tool),3,true
automotive_security_misconfiguration.can.injection_sensors,Injection (Sensors),3,true
automotive_security_misconfiguration.can.injection_steering_control,Injection (Steering Control),3,true
automotive_security_misconfiguration.can.injection_vehicle_anti_theft_systems,Injection (Vehicle Anti-theft Systems),3,true
automotive_security_misconfiguration.gnss_gps,GNSS / GPS,,false
automotive_security_misconfiguration.gnss_gps.spoofing,Spoofing,4,true
automotive_security_misconfiguration.immobilizer,Immobilizer,,false
automotive_security_misconfiguration.immobilizer.engine_start,Engine Start,3,true
automotive_security_misconfiguration.infotainment_radio_head_unit,"Infotainment, Radio Head Unit",,false
automotive_security_misconfiguration.infotainment_radio_head_unit.code_execution_can_bus_pivot,Code Execution (CAN Bus Pivot),2,true
automotive_security_misconfiguration.infotainment_radio_head_unit.code_execution_no_can_bus_pivot,Code Execution (No CAN Bus Pivot),3,true
automotive_security_misconfiguration.infotainment_radio_head_unit.default_credentials,Default Credentials,4,true
automotive_security_misconfiguration.infotainment_radio_head_unit.dos_brick,Denial of Service (DoS / Brick),4,true
automotive_security_misconfiguration.infotainment_radio_head_unit.ota_firmware_manipulation,OTA Firmware Manipulation,2,true
automotive_security_misconfiguration.infotainment_radio_head_unit.sensitive_data_leakage_exposure,Sensitive data Leakage/Exposure,1,true
automotive_security_misconfiguration.infotainment_radio_head_unit.source_code_dump,Source Code Dump,4,true
automotive_security_misconfiguration.infotainment_radio_head_unit.unauthorized_access_to_services,Unauthorized Access to Services (API / Endpoints),3,true
automotive_security_misconfiguration.rf_hub,RF Hub,,false
automotive_security_misconfiguration.rf_hub.can_injection_interaction,CAN Injection / Interaction,2,true
automotive_security_misconfiguration.rf_hub.data_leakage_pull_encryption_mechanism,Data Leakage / Pull Encryption Mechanism,3,true
automotive_security_misconfiguration.rf_hub.key_fob_cloning,Key Fob Cloning,1,true
automotive_security_misconfiguration.rf_hub.relay,Relay,5,true
automotive_security_misconfiguration.rf_hub.replay,Replay,5,true
automotive_security_misconfiguration.rf_hub.roll_jam,Roll Jam,5,true
automotive_security_misconfiguration.rf_hub.unauthorized_access_turn_on,Unauthorized Access / Turn On,4,true
automotive_security_misconfiguration.rsu,Roadside Unit (RSU),,false
automotive_security_misconfiguration.rsu.sybil_attack,Sybil Attack,4,true
blockchain_infrastructure_misconfiguration,Blockchain Infrastructure Misconfiguration,,false
blockchain_infrastructure_misconfiguration.improper_bridge_validation_and_verification_logic,Improper Bridge Validation and Verification Logic,,true
broken_access_control,Broken Access Control (BAC),,false
broken_access_control.bypass_of_password_confirmation,Bypass of Password Confirmation,,false
broken_access_control.bypass_of_password_confirmation.change_password,Change Password,4,true
broken_access_control.exposed_sensitive_android_intent,Exposed Sensitive Android Intent,,true
broken_access_control.exposed_sensitive_ios_url_scheme,Exposed Sensitive iOS URL Scheme,,true
broken_access_control.idor,Insecure Direct Object References (IDOR),,false
broken_access_control.idor.modify_sensitive_information_iterable_object_identifiers,Modify Sensitive Information(Iterable Object Identifiers),2,true
broken_access_control.idor.modify_view_sensitive_information_guid,Modify/View Sensitive Information(Complex Object Identifiers GUID/UUID),4,true
broken_access_control.idor.modify_view_sensitive_information_iterable_object_identifiers,Modify/View Sensitive Information(Iterable Object Identifiers),1,true
broken_access_control.idor.view_non_sensitive_information,View Non-Sensitive Information,5,true
broken_access_control.idor.view_sensitive_information_iterable_object_identifiers,View Sensitive Information(Iterable Object Identifiers),3,true
broken_access_control.privilege_escalation,Privilege Escalation,,true
broken_access_control.username_enumeration,Username/Email Enumeration,,false
broken_access_control.username_enumeration.non_brute_force,Non-Brute Force,4,true
broken_authentication_and_session_management,Broken Authentication and Session Management,,false
broken_authentication_and_session_management.authentication_bypass,Authentication Bypass,1,true
broken_authentication_and_session_management.cleartext_transmission_of_session_token,Cleartext Transmission of Session Token,4,true
broken_authentication_and_session_management.concurrent_logins,Concurrent Logins,5,true
broken_authentication_and_session_management.failure_to_invalidate_session,Failure to Invalidate Session,,false
broken_authentication_and_session_management.failure_to_invalidate_session.all_sessions,Concurrent Sessions On Logout,5,true
broken_authentication_and_session_management.failure_to_invalidate_session.long_timeout,Long Timeout,5,true
broken_authentication_and_session_management.failure_to_invalidate_session.on_email_change,On Email Change,5,true
broken_authentication_and_session_management.failure_to_invalidate_session.on_logout,On Logout (Client and Server-Side),4,true
broken_authentication_and_session_management.failure_to_invalidate_session.on_logout_server_side_only,On Logout (Server-Side Only),5,true
broken_authentication_and_session_management.failure_to_invalidate_session.on_password_change,On Password Reset and/or Change,4,true
broken_authentication_and_session_management.failure_to_invalidate_session.on_two_fa_activation_change,On 2FA Activation/Change,5,true
broken_authentication_and_session_management.failure_to_invalidate_session.permission_change,On Permission Change,,true
broken_authentication_and_session_management.saml_replay,SAML Replay,5,true
broken_authentication_and_session_management.session_fixation,Session Fixation,,false
broken_authentication_and_session_management.session_fixation.local_attack_vector,Local Attack Vector,5,true
broken_authentication_and_session_management.session_fixation.remote_attack_vector,Remote Attack Vector,3,true
broken_authentication_and_session_management.two_fa_bypass,Second Factor Authentication (2FA) Bypass,3,true
broken_authentication_and_session_management.weak_login_function,Weak Login Function,,false
broken_authentication_and_session_management.weak_login_function.not_operational,Not Operational or Intended Public Access,5,true
broken_authentication_and_session_management.weak_login_function.other_plaintext_protocol_no_secure_alternative,Other Plaintext Protocol with no Secure Alternative,4,true
broken_authentication_and_session_management.weak_login_function.over_http,Over HTTP,4,true
broken_authentication_and_session_management.weak_registration_implementation,Weak Registration Implementation,,false
broken_authentication_and_session_management.weak_registration_implementation.over_http,Over HTTP,4,true
broken_authentication_and_session_management.excessive_jwt_lifetime,Excessive JSON Web Token (JWT) Lifetime,5,true
broken_authentication_and_session_management.secret_questions_account_verification,Secret Questions Used for Account Verification,5,true
client_side_injection,Client-Side Injection,,false
client_side_injection.binary_planting,Binary Planting,,false
client_side_injection.binary_planting.no_privilege_escalation,No Privilege Escalation,5,true
client_side_injection.binary_planting.non_default_folder_privilege_escalation,Non-Default Folder Privilege Escalation,5,true
client_side_injection.binary_planting.privilege_escalation,Default Folder Privilege Escalation,3,true
cloud_security,Cloud Security,,false
cloud_security.identity_and_access_management_iam_misconfigurations,Identity and Access Management (IAM) Misconfigurations,,false
cloud_security.identity_and_access_management_iam_misconfigurations.overly_permissive_iam_roles,Overly Permissive IAM Roles,2,true
cloud_security.identity_and_access_management_iam_misconfigurations.publicly_accessible_iam_credentials,Publicly Accessible IAM Credentials,1,true
cloud_security.logging_and_monitoring_issues,Logging and Monitoring Issues,,false
cloud_security.logging_and_monitoring_issues.disabled_or_insufficient_logging,Disabled or Insufficient Logging,5,true
cloud_security.misconfigured_services_and_apis,Misconfigured Services and APIs,,false
cloud_security.misconfigured_services_and_apis.exposed_debug_or_admin_interfaces,Exposed Debug or Admin Interfaces,,true
cloud_security.misconfigured_services_and_apis.insecure_api_endpoints,Insecure API Endpoints,4,true
cloud_security.network_configuration_issues,Network Configuration Issues,,false
cloud_security.network_configuration_issues.lack_of_network_segmentation,Lack of Network Segmentation,3,true
cloud_security.network_configuration_issues.open_management_ports_to_the_internet,Open Management Ports to the Internet,3,true
cloud_security.storage_misconfigurations,Storage Misconfigurations,,false
cloud_security.storage_misconfigurations.publicly_accessible_cloud_storage,Publicly Accessible Cloud Storage,,true
cloud_security.storage_misconfigurations.unencrypted_sensitive_data_at_rest,Unencrypted Sensitive Data at Rest,2,true
cross_site_request_forgery_csrf,Cross-Site Request Forgery (CSRF),,false
cross_site_request_forgery_csrf.action_specific,Action-Specific,,false
cross_site_request_forgery_csrf.action_specific.authenticated_action,Authenticated Action,,true
cross_site_request_forgery_csrf.action_specific.logout,Logout,5,true
cross_site_request_forgery_csrf.action_specific.unauthenticated_action,Unauthenticated Action,,true
cross_site_request_forgery_csrf.application_wide,Application-Wide,2,true
cross_site_request_forgery_csrf.csrf_token_not_unique_per_request,CSRF Token Not Unique Per Request,5,true
cross_site_request_forgery_csrf.flash_based,Flash-Based,5,true
cross_site_scripting_xss,Cross-Site Scripting (XSS),,false
cross_site_scripting_xss.cookie_based,Cookie-Based,5,true
cross_site_scripting_xss.flash_based,Flash-Based,5,true
cross_site_scripting_xss.ie_only,IE-Only,5,true
cross_site_scripting_xss.off_domain,Off-Domain,,false
cross_site_scripting_xss.off_domain.data_uri,Data URI,4,true
cross_site_scripting_xss.referer,Referer,4,true
cross_site_scripting_xss.reflected,Reflected,,false
cross_site_scripting_xss.reflected.non_self,Non-Self,3,true
cross_site_scripting_xss.reflected.self,Self,5,true
cross_site_scripting_xss.stored,Stored,,false
cross_site_scripting_xss.stored.non_admin_to_anyone,Non-Privileged User to Anyone,2,true
cross_site_scripting_xss.stored.privileged_user_to_no_privilege_elevation,Privileged User to No Privilege Elevation,4,true
cross_site_scripting_xss.stored.privileged_user_to_privilege_elevation,Privileged User to Privilege Elevation,3,true
cross_site_scripting_xss.stored.self,Self,5,true
cross_site_scripting_xss.stored.url_based,CSRF/URL-Based,3,true
cross_site_scripting_xss.trace_method,TRACE Method,5,true
cross_site_scripting_xss.universal_uxss,Universal (UXSS),4,true
cryptographic_weakness,Cryptographic Weakness,,false
cryptographic_weakness.broken_cryptography,Broken Cryptography,,false
cryptographic_weakness.broken_cryptography.use_of_broken_cryptographic_primitive,Use of Broken Cryptographic Primitive,3,true
cryptographic_weakness.broken_cryptography.use_of_vulnerable_cryptographic_library,Use of Vulnerable Cryptographic Library,4,true
cryptographic_weakness.incomplete_cleanup_of_keying_material,Incomplete Cleanup of Keying Material,5,true
cryptographic_weakness.insecure_implementation,Insecure Implementation,,false
cryptographic_weakness.insecure_implementation.improper_following_of_specification,Improper Following of Specification (Other),,true
cryptographic_weakness.insecure_implementation.missing_cryptographic_step,Missing Cryptographic Step,,true
cryptographic_weakness.insecure_key_generation,Insecure Key Generation,,false
cryptographic_weakness.insecure_key_generation.improper_asymmetric_exponent_selection,Improper Asymmetric Exponent Selection,,true
cryptographic_weakness.insecure_key_generation.improper_asymmetric_prime_selection,Improper Asymmetric Prime Selection,,true
cryptographic_weakness.insecure_key_generation.insufficient_key_space,Insufficient Key Space,3,true
cryptographic_weakness.insecure_key_generation.insufficient_key_stretching,Insufficient Key Stretching,,true
cryptographic_weakness.insecure_key_generation.key_exchange_without_entity_authentication,Key Exchage Without Entity Authentication,4,true
cryptographic_weakness.insufficient_entropy,Insufficient Entropy,,false
cryptographic_weakness.insufficient_entropy.initialization_vector_reuse,Initialization Vector (IV) Reuse,5,true
cryptographic_weakness.insufficient_entropy.limited_rng_entropy_source,Limited Random Number Generator (RNG) Entropy Source,4,true
cryptographic_weakness.insufficient_entropy.predictable_initialization_vector,Predictable Initialization Vector (IV),4,true
cryptographic_weakness.insufficient_entropy.predictable_prng_seed,Predictable Pseudo-Random Number Generator (PRNG) Seed,4,true
cryptographic_weakness.insufficient_entropy.prng_seed_reuse,Pseudo-Random Number Generator (PRNG) Seed Reuse,5,true
cryptographic_weakness.insufficient_entropy.small_seed_space_in_prng,Small Seed Space in Pseudo-Random Number Generator (PRNG),4,true
cryptographic_weakness.insufficient_entropy.use_of_trng_for_nonsecurity_purpose,Use of True Random Number Generator (TRNG) for Non-Security Purpose,5,true
cryptographic_weakness.insufficient_verification_of_data_authenticity,Insufficient Verification of Data Authenticity,,false
cryptographic_weakness.insufficient_verification_of_data_authenticity.cryptographic_signature,Cryptographic Signature,,true
cryptographic_weakness.insufficient_verification_of_data_authenticity.identity_check_value,Integrity Check Value (ICV),4,true
cryptographic_weakness.key_reuse,Key Reuse,,false
cryptographic_weakness.key_reuse.inter_environment,Inter-Environment,2,true
cryptographic_weakness.key_reuse.intra_environment,Intra-Environment,5,true
cryptographic_weakness.key_reuse.lack_of_perfect_forward_secrecy,Lack of Perfect Forward Secrecy,4,true
cryptographic_weakness.side_channel_attack,Side-Channel Attack,,false
cryptographic_weakness.side_channel_attack.differential_fault_analysis,Differential Fault Analysis,,true
cryptographic_weakness.side_channel_attack.emanations_attack,Emanations Attack,5,true
cryptographic_weakness.side_channel_attack.padding_oracle_attack,Padding Oracle Attack,4,true
cryptographic_weakness.side_channel_attack.power_analysis_attack,Power Analysis Attack,5,true
cryptographic_weakness.side_channel_attack.timing_attack,Timing Attack,4,true
cryptographic_weakness.use_of_expired_cryptographic_key_or_cert,Use of Expired Cryptographic Key (or Certificate),4,true
cryptographic_weakness.weak_hash,Weak Hash,,false
cryptographic_weakness.weak_hash.lack_of_salt,Lack of Salt,,true
cryptographic_weakness.weak_hash.predictable_hash_collision,Predictable Hash Collision,,true
cryptographic_weakness.weak_hash.use_of_predictable_salt,Use of Predictable Salt,5,true
data_biases,Data Biases,,false
data_biases.pre_existing_bias,Pre-existing Bias,,true
data_biases.representation_bias,Representation Bias,,true
decentralized_application_misconfiguration,Decentralized Application Misconfiguration,,false
decentralized_application_misconfiguration.defi_security,DeFi Security,,false
decentralized_application_misconfiguration.defi_security.flash_loan_attack,Flash Loan Attack,,true
decentralized_application_misconfiguration.defi_security.function_level_accounting_error,Function-Level Accounting Error,,true
decentralized_application_misconfiguration.defi_security.improper_implementation_of_governance,Improper Implementation of Governance,,true
decentralized_application_misconfiguration.defi_security.pricing_oracle_manipulation,Pricing Oracle Manipulation,,true
decentralized_application_misconfiguration.improper_authorization,Improper Authorization,,false
decentralized_application_misconfiguration.improper_authorization.insufficient_signature_validation,Insufficient Signature Validation,,true
decentralized_application_misconfiguration.insecure_data_storage,Insecure Data Storage,,false
